-------New Record--------

train:54863
read lang from:./output/lang.pkl
vocab_size:6605


Decoding strategy: greedy decoding
2022-01-23 16:12:24.177 | INFO     | __main__:greedy_decode:93 - keywords:菊荒秋篱寿酒
2022-01-23 16:12:24.178 | INFO     | __main__:greedy_decode:100 - pred:菊荒秋篱菊|霜寿菊篱黄|寿酒杯酒酒|寿杯酒菊花

2022-01-23 16:12:24.289 | INFO     | __main__:greedy_decode:93 - keywords:大家未央东北驰道
2022-01-23 16:12:24.289 | INFO     | __main__:greedy_decode:100 - pred:东北驰道大家家|未央宫里两相催|大家有意皆驰道|驰道先生一夜香

2022-01-23 16:12:24.399 | INFO     | __main__:greedy_decode:93 - keywords:胸中本督邮尘埃
2022-01-23 16:12:24.399 | INFO     | __main__:greedy_decode:100 - pred:胸中本自无尘埃|底事尘埃不可怜|尽日尘埃无尽意|不知身是督邮人

2022-01-23 16:12:24.472 | INFO     | __main__:greedy_decode:93 - keywords:护辟谷萌芽浑疑
2022-01-23 16:12:24.472 | INFO     | __main__:greedy_decode:100 - pred:辟谷浑疑浑不疑|浑疑浑似护萌芽|浑疑辟谷浑无事|

2022-01-23 16:12:24.544 | INFO     | __main__:greedy_decode:93 - keywords:幽人放船持竿溪头
2022-01-23 16:12:24.544 | INFO     | __main__:greedy_decode:100 - pred:幽人持竿去|持竿放船归|溪头鲈鱼子|持竿放船行

2022-01-23 16:12:24.617 | INFO     | __main__:greedy_decode:93 - keywords:横海渺渺波陶朱
2022-01-23 16:12:24.617 | INFO     | __main__:greedy_decode:100 - pred:渺渺波流海渺波|朱朱横海涌波浮|何人不用陶朱处|

2022-01-23 16:12:24.690 | INFO     | __main__:greedy_decode:93 - keywords:炎天天下汉席
2022-01-23 16:12:24.690 | INFO     | __main__:greedy_decode:100 - pred:炎天汉席席|席上汉席席|炎天不可见|汉席席炎天

2022-01-23 16:12:24.766 | INFO     | __main__:greedy_decode:93 - keywords:雨馀游丝风起芳草
2022-01-23 16:12:24.766 | INFO     | __main__:greedy_decode:100 - pred:雨馀芳草绿烟浓|风起游丝不断群|芳草游丝无限意|

2022-01-23 16:12:24.876 | INFO     | __main__:greedy_decode:93 - keywords:罗浮长忆野人玉色
2022-01-23 16:12:24.876 | INFO     | __main__:greedy_decode:100 - pred:长忆野人玉色寒|罗浮玉色映罗浮|罗浮不忆罗浮色|一洗罗浮玉色醪

2022-01-23 16:12:24.949 | INFO     | __main__:greedy_decode:93 - keywords:闲门点检东君本
2022-01-23 16:12:24.949 | INFO     | __main__:greedy_decode:100 - pred:点检闲门检点检|东君本是检官私|检书本是无心事|

2022-01-23 16:12:25.024 | INFO     | __main__:greedy_decode:93 - keywords:潇湘挥手丹成广文
